Sample ID,LabDate,LakeID,Taxon,LifeStage,SpecimenNumber,Length,Comments,
903,4/15/2013 0:00,72996,Sialis,,18,10.4,,
903,4/15/2013 0:00,72996,Sialis,,19,11,,
903,4/15/2013 0:00,72996,Sialis,,20,9.5,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,1,4.7,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,2,3,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,3,6.9,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,4,2.6,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,5,3.3,Missing head,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,6,5,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,7,2.9,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,8,8.4,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,9,5.7,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,10,2.7,,
903,4/16/2013 0:00,72996,Agabus,Larvae/Nymph,11,3.6,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,1,5.4,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,2,8.2,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,3,5.7,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,4,6.5,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,5,6.5,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,6,3.9,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,7,3.3,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,8,7.1,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,9,5.1,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,10,7.2,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,11,4.5,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,12,4.1,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,13,7.2,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,14,6.3,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,15,6.6,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,16,5.7,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,17,3.4,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,18,6.2,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,19,6.2,,
903,4/16/2013 0:00,72996,Callibaetis ferrugineus,,20,5.8,,
903,4/17/2013 0:00,72996,Chironomidae,,1,11,,
903,4/17/2013 0:00,72996,Chironomidae,,2,7.4,,
903,4/17/2013 0:00,72996,Chironomidae,,3,3.9,,
903,4/17/2013 0:00,72996,Chironomidae,,4,5.2,,
903,4/17/2013 0:00,72996,Chironomidae,,5,3.9,,
903,4/17/2013 0:00,72996,Chironomidae,,6,8.9,,
903,4/17/2013 0:00,72996,Chironomidae,,7,8.4,,
903,4/17/2013 0:00,72996,Chironomidae,,8,8.7,,
903,4/17/2013 0:00,72996,Chironomidae,,9,6.5,,
903,4/17/2013 0:00,72996,Chironomidae,,10,6.6,,
903,4/17/2013 0:00,72996,Chironomidae,,11,8.8,,
903,4/17/2013 0:00,72996,Chironomidae,,12,8.6,,
903,4/17/2013 0:00,72996,Chironomidae,,13,8.9,,
903,4/17/2013 0:00,72996,Chironomidae,,14,7.1,,
903,4/17/2013 0:00,72996,Chironomidae,,15,7.8,,
903,4/17/2013 0:00,72996,Chironomidae,,16,11.6,,
903,4/17/2013 0:00,72996,Chironomidae,,17,9,,
903,4/17/2013 0:00,72996,Chironomidae,,18,7.3,,
903,4/17/2013 0:00,72996,Chironomidae,,19,6.6,,
903,4/17/2013 0:00,72996,Chironomidae,,20,9,,
1107,11/15/2013 0:00,10090,Sialis,,1,8,,
1107,11/15/2013 0:00,10090,Sialis,,2,3.7,,
1107,11/15/2013 0:00,10090,Sialis,,3,5.9,,
1107,11/15/2013 0:00,10090,Sialis,,4,4.3,,
1107,11/18/2013 0:00,10090,Hydroporus,,1,0.9,,
1107,11/18/2013 0:00,10090,Oligochaeta,,1,7.2,,
1107,11/18/2013 0:00,10090,Oligochaeta,,2,8.5,,
1107,11/18/2013 0:00,10090,Oligochaeta,,3,7.4,,
1107,11/18/2013 0:00,10090,Oligochaeta,,4,6.6,,
1107,11/18/2013 0:00,10090,Oligochaeta,,5,9.1,,
1107,11/18/2013 0:00,10090,Oligochaeta,,6,13.8,,
1107,11/18/2013 0:00,10090,Oligochaeta,,7,8.4,,
1107,11/18/2013 0:00,10090,Oligochaeta,,8,4.3,,
1107,11/18/2013 0:00,10090,Oligochaeta,,9,9.6,,
1107,11/18/2013 0:00,10090,Oligochaeta,,10,8.3,,
1107,11/18/2013 0:00,10090,Oligochaeta,,11,8.8,,
1107,11/18/2013 0:00,10090,Oligochaeta,,12,9.5,,
1107,11/18/2013 0:00,10090,Plecoptera,,1,2.8,,
1107,11/18/2013 0:00,10090,Plecoptera,,2,3.4,,
1107,11/18/2013 0:00,10090,Stictotarsus,Larvae/Nymph,1,2.4,,
1107,11/18/2013 0:00,10090,Stictotarsus,Larvae/Nymph,2,3.5,,
1107,11/18/2013 0:00,10090,Stictotarsus,Larvae/Nymph,3,2.8,,
1107,11/18/2013 0:00,10090,Stictotarsus,Larvae/Nymph,4,4.7,,
1107,11/21/2013 0:00,10090,Acari,,1,1.2,,
1107,11/21/2013 0:00,10090,Acari,,2,1.4,,
1107,11/21/2013 0:00,10090,Acari,,3,1.5,,
1107,11/21/2013 0:00,10090,Acari,,4,1.4,,
1107,11/21/2013 0:00,10090,Acari,,5,1.4,,
1107,11/21/2013 0:00,10090,Acari,,6,1.4,,
1107,11/21/2013 0:00,10090,Chironomidae,,1,7.3,,
1107,11/21/2013 0:00,10090,Chironomidae,,2,11.5,,
1107,11/21/2013 0:00,10090,Chironomidae,,3,7.3,,
1107,11/21/2013 0:00,10090,Chironomidae,,4,11.3,,
1107,11/21/2013 0:00,10090,Chironomidae,,5,2.2,,
1107,11/21/2013 0:00,10090,Chironomidae,,6,7.4,,
1107,11/21/2013 0:00,10090,Chironomidae,,7,5,,
1107,11/21/2013 0:00,10090,Chironomidae,,8,7.2,,
1107,11/21/2013 0:00,10090,Chironomidae,,9,5.5,,
1107,11/21/2013 0:00,10090,Chironomidae,,10,8.3,,
1107,11/21/2013 0:00,10090,Chironomidae,,11,7.3,,
1107,11/21/2013 0:00,10090,Chironomidae,,12,4.3,,
1107,11/21/2013 0:00,10090,Chironomidae,,13,4.4,,
1107,11/21/2013 0:00,10090,Chironomidae,,14,5.3,,
1107,11/21/2013 0:00,10090,Chironomidae,,15,4.7,,
1107,11/21/2013 0:00,10090,Chironomidae,,16,5.8,,
1107,11/21/2013 0:00,10090,Chironomidae,,17,3,,
1107,11/21/2013 0:00,10090,Chironomidae,,18,6.9,,
1107,11/21/2013 0:00,10090,Chironomidae,,19,3.8,,
1107,11/21/2013 0:00,10090,Chironomidae,,20,5.2,,
1107,11/21/2013 0:00,10090,Desmona,,1,8.8,,
1107,11/21/2013 0:00,10090,Desmona,,2,14.1,,
1107,11/21/2013 0:00,10090,Hesperophylax,,1,17.5,,
1107,11/21/2013 0:00,10090,Pisidium casertanum,,1,2.3,,
1107,11/21/2013 0:00,10090,Pisidium casertanum,,2,3.5,,
1107,11/21/2013 0:00,10090,Polycentropus,,1,3.7,,
1107,11/21/2013 0:00,10090,Polycentropus,,2,15.3,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,1,5.4,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,2,4.5,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,3,7.3,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,4,4.5,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,5,6.1,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,6,5.2,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,7,8.3,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,8,8.2,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,9,7.8,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,10,4.4,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,11,5.9,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,12,5,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,13,4.5,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,14,7.4,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,15,8.6,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,16,4.3,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,17,8.1,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,18,5.5,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,19,6.1,,
1108,11/22/2013 0:00,72996,Callibaetis ferrugineus,,20,7.1,,
1108,11/22/2013 0:00,72996,Chironomidae,,1,1.9,,
1108,11/22/2013 0:00,72996,Chironomidae,,2,4.4,,
1108,11/22/2013 0:00,72996,Chironomidae,,3,5,,
1108,11/22/2013 0:00,72996,Chironomidae,,4,6.5,,
1108,11/22/2013 0:00,72996,Chironomidae,,5,5.8,,
1108,11/22/2013 0:00,72996,Chironomidae,,6,5.8,,
1108,11/22/2013 0:00,72996,Chironomidae,,7,5.5,,
1108,11/22/2013 0:00,72996,Chironomidae,,8,9.5,,
1108,11/22/2013 0:00,72996,Chironomidae,,9,3.7,,
1108,11/22/2013 0:00,72996,Chironomidae,,10,4.2,,
1108,11/22/2013 0:00,72996,Chironomidae,,11,4.9,,
1108,11/22/2013 0:00,72996,Chironomidae,,12,5.9,,
1108,11/22/2013 0:00,72996,Chironomidae,,13,5.4,,
1108,11/22/2013 0:00,72996,Chironomidae,,14,2.5,,
1108,11/22/2013 0:00,72996,Chironomidae,,15,3.2,,
1108,11/22/2013 0:00,72996,Chironomidae,,16,4.6,,
1108,11/22/2013 0:00,72996,Chironomidae,,17,5.7,,
1108,11/22/2013 0:00,72996,Chironomidae,,18,1.8,,
1108,11/22/2013 0:00,72996,Chironomidae,,19,3.5,,
1108,11/22/2013 0:00,72996,Chironomidae,,20,5.9,,
1108,11/25/2013 0:00,72996,Acari,,1,1,,
1108,11/25/2013 0:00,72996,Acari,,2,1.2,,
1108,11/25/2013 0:00,72996,Acari,,3,0.8,,
1108,11/25/2013 0:00,72996,Acari,,4,0.9,,
1108,11/25/2013 0:00,72996,Acari,,5,1,,
1108,11/25/2013 0:00,72996,Acari,,6,1,,
1108,11/25/2013 0:00,72996,Acari,,7,1,,
1108,11/25/2013 0:00,72996,Acari,,8,1,,
1108,11/25/2013 0:00,72996,Acari,,9,0.8,,
1108,11/25/2013 0:00,72996,Acari,,10,1,,
1108,11/25/2013 0:00,72996,Acari,,11,0.6,,
1108,11/25/2013 0:00,72996,Acari,,12,1,,
1108,11/25/2013 0:00,72996,Acari,,13,1,,
1108,11/25/2013 0:00,72996,Acari,,14,0.9,,
1108,11/25/2013 0:00,72996,Acari,,15,0.9,,
1108,11/25/2013 0:00,72996,Acari,,16,1,,
1108,11/25/2013 0:00,72996,Acari,,17,0.9,,
1108,11/25/2013 0:00,72996,Acari,,18,0.7,,
1108,11/25/2013 0:00,72996,Acari,,19,0.9,,
1108,11/25/2013 0:00,72996,Acari,,20,1.1,,
1108,11/25/2013 0:00,72996,Corixidae,,1,1.5,,
1108,11/25/2013 0:00,72996,Corixidae,,2,2.1,,
1108,11/25/2013 0:00,72996,Corixidae,,3,2.3,,
1108,11/25/2013 0:00,72996,Corixidae,,4,2.3,,
1108,11/25/2013 0:00,72996,Corixidae,,5,1.5,,
1108,11/25/2013 0:00,72996,Corixidae,,6,2.3,,
1108,11/25/2013 0:00,72996,Corixidae,,7,1.4,,
1108,11/25/2013 0:00,72996,Corixidae,,8,2.3,,
1108,11/25/2013 0:00,72996,Corixidae,,9,2.2,,
1108,11/25/2013 0:00,72996,Corixidae,,10,2.3,,
1108,11/25/2013 0:00,72996,Corixidae,,11,1.4,,
1108,11/25/2013 0:00,72996,Corixidae,,12,1.6,,
1108,11/25/2013 0:00,72996,Corixidae,,13,1.4,,
1108,11/25/2013 0:00,72996,Corixidae,,14,2.3,,
1108,11/25/2013 0:00,72996,Corixidae,,15,1.5,,
1108,11/25/2013 0:00,72996,Corixidae,,16,1.5,,
1108,11/25/2013 0:00,72996,Corixidae,,17,1.4,,
1108,11/25/2013 0:00,72996,Corixidae,,18,1.5,,
1108,11/25/2013 0:00,72996,Corixidae,,19,2.2,,
1108,11/25/2013 0:00,72996,Corixidae,,20,1.4,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,1,4.5,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,2,3.2,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,3,4,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,4,5,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,5,5,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,6,4.4,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,7,4.8,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,8,2.3,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,9,3.9,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,10,3.8,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,11,3.6,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,12,4,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,13,4.2,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,14,4.1,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,15,4.4,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,16,4.6,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,17,4.1,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,18,4,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,19,3,,
1108,11/25/2013 0:00,72996,Pisidium casertanum,,20,3.1,,
1108,11/25/2013 0:00,72996,Stictotarsus,Larvae/Nymph,1,1.3,,
1109,12/2/2013 0:00,70550,Ameletus,,1,12,,
1109,12/2/2013 0:00,70550,Ameletus,,2,13.4,,
1109,12/2/2013 0:00,70550,Ameletus,,3,5.1,,
1109,12/2/2013 0:00,70550,Chironomidae,,1,8.1,,
1109,12/2/2013 0:00,70550,Chironomidae,,2,9.8,,
1109,12/2/2013 0:00,70550,Chironomidae,,3,7.9,,
1109,12/2/2013 0:00,70550,Chironomidae,,4,10.7,,
1109,12/2/2013 0:00,70550,Chironomidae,,5,8.8,,
1109,12/2/2013 0:00,70550,Chironomidae,,6,11.5,,
1109,12/2/2013 0:00,70550,Chironomidae,,7,11.6,,
1109,12/2/2013 0:00,70550,Chironomidae,,8,5.2,,
1109,12/2/2013 0:00,70550,Chironomidae,,9,11.6,,
1109,12/2/2013 0:00,70550,Chironomidae,,10,10.3,,
1109,12/2/2013 0:00,70550,Chironomidae,,11,9.1,,
1109,12/2/2013 0:00,70550,Chironomidae,,12,8.9,,
1109,12/2/2013 0:00,70550,Chironomidae,,13,4.5,,
1109,12/2/2013 0:00,70550,Chironomidae,,14,10.9,,
1109,12/2/2013 0:00,70550,Chironomidae,,15,6.2,,
1109,12/2/2013 0:00,70550,Chironomidae,,16,5.2,,
1109,12/2/2013 0:00,70550,Chironomidae,,17,6.2,,
1109,12/2/2013 0:00,70550,Chironomidae,,18,3.9,,
1109,12/2/2013 0:00,70550,Chironomidae,,19,6,,
1109,12/2/2013 0:00,70550,Chironomidae,,20,6.9,,
1109,12/2/2013 0:00,70550,Sialis,,1,16.1,,
1109,12/2/2013 0:00,70550,Sialis,,2,9.9,,
1109,12/2/2013 0:00,70550,Sialis,,3,12.7,,
1109,12/2/2013 0:00,70550,Sialis,,4,11,,
1109,12/2/2013 0:00,70550,Sialis,,5,4.6,,
1109,12/2/2013 0:00,70550,Sialis,,6,4.3,,
1109,12/2/2013 0:00,70550,Sialis,,7,3.1,,
1109,12/2/2013 0:00,70550,Sialis,,8,9.4,,
1109,12/2/2013 0:00,70550,Sialis,,9,6.3,,
1109,12/2/2013 0:00,70550,Sialis,,10,3.7,,
1109,12/2/2013 0:00,70550,Sialis,,11,3.4,,
1109,12/2/2013 0:00,70550,Sialis,,12,3.3,,
1109,12/2/2013 0:00,70550,Sialis,,13,2.8,,
1109,12/2/2013 0:00,70550,Sialis,,14,4.4,,
1109,12/2/2013 0:00,70550,Sialis,,15,2.4,,
1109,12/2/2013 0:00,70550,Sialis,,16,8.3,,
1109,12/2/2013 0:00,70550,Sialis,,17,5.6,,
1109,12/2/2013 0:00,70550,Sialis,,18,3.6,,
1109,12/2/2013 0:00,70550,Sialis,,19,4.7,,
1109,12/2/2013 0:00,70550,Sialis,,20,3.4,,
1109,1/14/2014 0:00,70550,Acari,,1,1.6,,
1109,1/14/2014 0:00,70550,Acari,,2,1.5,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,1,7.6,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,2,10.1,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,3,9.4,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,4,11.4,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,5,10.5,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,6,9.7,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,7,7.3,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,8,10.9,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,9,10.6,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,10,9.2,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,11,8.5,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,12,10,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,13,9.9,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,14,9,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,15,11.3,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,16,9.7,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,17,9.7,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,18,9.7,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,19,10,,
1109,1/14/2014 0:00,70550,Callibaetis ferrugineus,,20,9,,
1109,1/14/2014 0:00,70550,Chironimidae,,1,4.8,,
1109,1/14/2014 0:00,70550,Chironomidae,,2,5.7,,
1109,1/14/2014 0:00,70550,Chironomidae,,3,4.2,,
1109,1/14/2014 0:00,70550,Chironomidae,,4,4,,
1109,1/14/2014 0:00,70550,Chironomidae,,5,5.6,,
1109,1/14/2014 0:00,70550,Chironomidae,,6,4.5,,
1109,1/14/2014 0:00,70550,Chironomidae,,7,5.2,,
1109,1/14/2014 0:00,70550,Chironomidae,,8,5,,
1109,1/14/2014 0:00,70550,Chironomidae,,9,4.4,,
1109,1/14/2014 0:00,70550,Chironomidae,,10,4.8,,
1109,1/14/2014 0:00,70550,Chironomidae,,11,5.4,,
1109,1/14/2014 0:00,70550,Chironomidae,,12,5.2,,
1109,1/14/2014 0:00,70550,Chironomidae,,13,4.8,,
1109,1/14/2014 0:00,70550,Limnephilus,,1,13.6,,
1109,1/14/2014 0:00,70550,Limnephilus,,2,9.2,,
1109,1/14/2014 0:00,70550,Limnephilus,,3,17.6,,
1109,1/14/2014 0:00,70550,Limnephilus,,4,19.3,,
1109,1/14/2014 0:00,70550,Pisidium casertanum,,1,3.6,,
1109,1/14/2014 0:00,70550,Pisidium casertanum,,2,3.5,,
1109,1/14/2014 0:00,70550,Pisidium casertanum,,3,2.3,,
1109,1/14/2014 0:00,70550,Pisidium casertanum,,4,4.1,,
1109,1/14/2014 0:00,70550,Pisidium casertanum,,5,3.4,,
