SampleID,LakeID,FrogPopulationType,Actual fish status,Lake Area,Lake Perimeter,Elevation,North UTM,Jurisdiction,Taxon,LifeStage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Acari,,1.7,1,0.9,0.6,1.3,1.5,0.9,1.4,1.4,1,0.9,1.5,1.5,1.1,0.5,0.6,0.9,0.6,,
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Agabus,,3.5,,,,,,,,,,,,,,,,,,,
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Ameletus,,12.5,8.5,12.2,9.9,8.9,6.8,12.5,7.2,7.6,7.5,,,,,,,,,,
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Chironomidae,,6.65,5.35,6.05,7.5,7,4.8,4.7,8,9.5,6.5,7.1,7.5,7,7.5,6.9,6.4,7.2,9,4.5,4.3
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Corixidae,,2.8,2.8,2.9,3.1,2.9,3.8,2.3,2.9,7.4,2.8,2.8,2.7,3,2.6,2.6,2.9,2.3,3.2,1.2,2.1
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Desmona,,9.5,11.7,,,,,,,,,,,,,,,,,,
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Pisidium casertanum,,4.7,3.8,4.5,4,3.8,3.7,3,3.1,3.3,3.6,3.2,4.3,3.3,3.1,3.3,3.1,3.3,3.1,3.1,3.1
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Polycentropus,,12.3,12.6,6.5,5.1,6.8,,,,,,,,,,,,,,,
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Sialis,,11.1,6.5,6.1,8.9,9,10.7,8.9,7,10.1,6.9,7.8,3,,,,,,,,
1110,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Stictotarsus,,2.5,3,2.95,2.6,2.65,2.45,3.15,3.05,2.55,2.4,2.45,2.55,1.4,1.2,1,1.2,1.8,1.1,2.1,1.4
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Acari,,1,,,,,,,,,,,,,,,,,,,
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Ameletus,,12.4,12.1,15,2.3,5.5,2.2,5.4,10.3,6.6,2.4,,,,,,,,,,
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Chironomidae,,7.7,6,8,9,7.5,8.7,6.2,6.8,7,7.6,8.5,10.7,9.1,5.2,10.6,8.7,5,9,8,5.9
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Chironomidae,Pupae,7.7,5.3,6,6.1,6,4.7,,,,,,,,,,,,,,
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Dicosmoecus,,10.5,10.5,10.7,10.5,,,,,,,,,,,,,,,,
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Limnephilus,,19,14.7,,,,,,,,,,,,,,,,,,
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Oligochaeta,,8.3,14,11.6,14.6,10,8.4,8.9,18,12,12.5,4.5,10.3,5.5,8.6,11.6,12.7,20.1,9.3,11,17.7
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Pisidium casertanum,,4.1,3.3,2.7,1.9,2.4,3.4,2.4,2,1.9,1.8,2.4,1.9,2.1,2.3,1.8,3.7,1.9,2.2,4,1.9
1112,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Sialis,,12.2,11.5,9.1,6.7,3.4,8.6,11.5,15.7,10.7,3.5,5.9,15.7,8.7,17,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Acari,,1.3,,,,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Callibaetis ferrugineus,,10.5,9.6,8,,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Chironomidae,,7,8.7,7.5,7.2,3.7,6.5,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Chironomidae,Pupae,4,,,,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Corixidae,,1.6,,,,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Dicosmoecus,,7.4,5.65,6.8,6.25,5.75,6.2,6.55,1.9,1.7,1.7,1.8,1.5,1.5,1.6,1.6,2.2,2.1,2.2,1.9,1.4
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Limnephilus,Early Instar,1.5,,,,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Psychoglypha,,12,,,,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Sialis,,14.7,6,,,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Stictotarsus,Adult,3.7,3.9,3.7,3.8,,,,,,,,,,,,,,,,
1113,10222,Declining,No,10568,441,3554,4105612.933,KINGS_CANYON,Stictotarsus,Larvae,2,2.2,2.4,,,,,,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Ameletus,,3.4,,,,,,,,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Callibaetis ferrugineus,,9.3,9.2,8.3,8.5,9,4.9,9,4.2,9.8,7.5,7.5,6.3,9,4.9,7.3,8.3,10,8.6,8.8,7.7
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Chironomidae,Pupae,5.4,4.5,4.5,4.6,5.2,2.5,5.1,5.7,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Desmona,,15,,,,,,,,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Limnephilus,,2.2,,,,,,,,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Pisidium casertanum,,3.2,,,,,,,,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Psychoglypha,,13.5,17.4,,,,,,,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Stictotarsus,Adult,3.5,3.2,,,,,,,,,,,,,,,,,,
1114,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Stictotarsus,Larvae,2.1,2.6,1.3,1.5,2.5,1.3,2.6,2.8,1.3,2.6,3.1,1.3,1.9,2.5,1.6,2.3,1.4,1.4,2.7,1.6
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Acari,,1.5,1.1,1.1,1,1.4,1.4,1,1.3,1.5,1.5,1.5,1.5,1.2,1.5,1.4,1.4,1.5,1.4,0.9,1.4
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Ameletus,,10.8,11.5,8,2.9,11.8,,,,,,,,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Callibaetis ferrugineus,,6.8,8,9,7.3,9.2,8.5,7.9,7.1,6.1,7.7,7.7,6.7,8.3,7.1,7.5,9.4,9.7,8.8,7.7,7.1
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Chironomidae,,8.5,6,6.3,6,7.6,5.2,7.8,8.8,6,6.4,3.9,6.5,7.2,5.8,6,4.9,8,5.7,6.2,4.2
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Chironomidae,Pupae,4.7,5.3,5,,,,,,,,,,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Corixidae,,1.6,1.6,1.6,1.6,2,1.5,1.5,1.5,1.5,1.5,1.6,1.5,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Dicosmoecus,,16,15,14,,,,,,,,,,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Hydroporus,Larvae,2.2,2.5,1.9,1.3,,,,,,,,,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Pisidium casertanum,,2.2,1.7,2.2,2,2.8,3,2.3,3.2,1.9,2.1,2.8,2.7,1.8,2.1,1.7,1.8,3,2.9,2.5,1.8
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Psychoglypha,,19.5,19,16.2,15.2,,,,,,,,,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Sialis,,5.4,15.5,14.5,6.8,,,,,,,,,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Stictotarsus,,4.8,3.5,3.6,3.5,3.9,,,,,,,,,,,,,,,
1115,10206,Declining,No,29262,762,3388,4103660.683,KINGS_CANYON,Stictotarsus,Larvae,4.2,1.4,2.5,2.6,3.4,3.2,3.1,2.5,2.5,1.4,3.3,4,1.7,3,2.7,3.7,1.1,1.7,2.7,1.4
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Acari,Larvae/Nymph,1.3,1.7,1.6,1.6,1.3,1,1.4,1.2,0.9,1.6,0.6,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Callibaetis ferrugineus,Larvae/Nymph,8.7,8.9,9.2,7.8,8.3,8.4,6.6,,,,,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Chironomidae,,8.3,7.6,4.2,6,4.8,8,8.6,7.5,8.3,4.7,4.2,7.9,8.3,7.7,7.4,3.9,5.9,7.6,3.5,6.1
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Corixidae,Larvae/Nymph,1.7,2.2,1.6,1.1,2.2,1.4,,,,,,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Dicosmoecus,Larvae/Nymph,12.5,9.4,13.7,14.9,,,,,,,,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Limnophilidae,,1.9,,,,,,,,,,,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Oligochaeta,,138.15,,,,,,,,,,,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Pisidium,,1.8,2.8,3.8,1.8,2.3,1.7,2.9,1.8,3.2,2.2,1.2,2,3,1.8,2.4,1.9,2.5,2.2,2.7,2.1
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Sialis,Larvae/Nymph,7,6.2,8.4,6.4,3.9,4,8.6,,,,,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Stictotarsus,Adult,3.6,4,3.9,3.9,3.8,3.8,,,,,,,,,,,,,,
1116,10225,Declining,No,28515,1057,3493,4104767.651,KINGS_CANYON,Stictotarsus,Larvae/Nymph,1.5,4.2,,,,,,,,,,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Acari,,1,0.6,0.7,0.8,0.6,0.7,1.2,1.3,,,,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Callibaetis ferrugineus,,1.8,,,,,,,,,,,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Chironomidae,,7.9,7.2,7.9,4.9,6.8,4.9,7.7,5.5,3.4,7.7,,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Corixidae,,1.4,3.3,3.1,3.4,3.1,3.1,3.1,3,3,3.3,3.5,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Oligochaeta,,1.3,1.9,2.7,2.9,3.4,8,3,3.5,6.7,6.9,4.1,9.9,4.3,3.4,9.9,2.4,1.5,7.2,6.8,7
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Pisidium casertanum,,0.9,2.4,2.2,3.5,3.6,3.8,2.4,3.1,3.8,3.6,3.7,3.7,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Polycentropus,,8.5,15.8,10.6,14.9,12.5,,,,,,,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Psychoglypha,,18.2,,,,,,,,,,,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Sialis,,1.9,,,,,,,,,,,,,,,,,,,
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Stictotarsus,Adult,3.9,3.9,4,3.6,3.9,4,4,3.7,3.9,3.8,3.7,3.9,3.9,3.9,3.8,3.8,4,3.7,3.7,3.8
1119,50183,Declining,Yes,30659,833,3583,4124855.769,SIERRA_NF,Stictotarsus,Larvae/Nymph,3.2,3.2,3.5,4.2,2,3.1,2.3,2.2,2.4,3.4,3.2,3.2,2.6,2.1,2.4,2.4,3,2.5,3.3,4
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Acari,,0.7,0.9,,,,,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Chironomidae,,7.5,6.7,6.8,6.2,5.4,4,8.2,9.6,6.4,6.1,8.4,6.3,6,9.1,7.7,8.1,7.6,8.9,7.6,8.4
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Corixidae,,2.4,2.4,2.5,3.2,2.6,2.9,3.1,2.8,3,4.3,3.7,4.2,4.3,3.1,3.1,4.7,4.2,2.9,3.4,3
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Desmona,,12.6,13.4,12.1,,,,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Ecclisomyia,,6.1,6.2,4.9,6.5,5.9,,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Hesperophylax,,6.5,5.3,6.7,6.6,5.1,4.6,5.9,6.2,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Hydroporus,Adult,3.9,3.9,3.9,3.8,3.6,3.6,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Hydroporus,Larvae/Nymph,3.1,,,,,,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Lenarchus,,5.8,4.6,6.5,3.7,3.6,3.8,7.1,3.8,4.2,7.9,4.1,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Oligochaeta,,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Polycentropus,,15.3,8.4,10.6,8.6,11.6,12.8,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Sialis,,4.3,4,,,,,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Stictotarsus,Adult,4.9,3.9,3.7,4.1,,,,,,,,,,,,,,,,
1120,51058,Declining,No,14161,515,3529,4123367.684,SIERRA_NF,Stictotarsus,Larvae/Nymph,2.9,3.3,3.4,4.1,3.7,2.3,2.6,2.9,3,3.1,,,,,,,,,,
1121,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Ameletus,,3.1,6.5,2.1,6.4,4.5,2.1,8.4,5.1,2.4,2.9,2,1.8,2.2,11.2,2.4,5,1.7,2.7,6.4,5.8
1121,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Chironomidae,,13.9,7.9,11.2,12.4,11.5,6.2,10.9,5,11.1,4.9,15.1,5.6,8.3,16.1,5.8,11,4.4,13,3.7,4.9
1121,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Hirudinea,,2.5,1.9,1.9,1.9,2.4,,,,,,,,,,,,,,,
1121,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Oligochaeta,,6.6,14.5,5.2,11.7,5.4,4.4,7,4.5,3.1,8.1,11.1,5.1,11.9,5.3,13.2,11.4,6.5,17.5,3.2,11.7
1121,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Pisidium casertanum,,3.2,4,3.5,2.3,1.7,2.4,2.6,3.9,1.9,1.6,1.9,2.6,2,1.7,1.6,1.9,2.8,2.6,2,1.9
1121,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Psychoglypha,,15.2,15.3,,,,,,,,,,,,,,,,,,
1121,10100,Extant,No,25974,657,3298,4109665.378,KINGS_CANYON,Sialis,,4.3,11.4,10.2,,,,,,,,,,,,,,,,,
1121,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Ameletus,,3.8,2.5,5.6,1.7,2.1,5.1,1.9,7.4,3.1,2,2.6,2.8,4.6,2.6,2.3,2.8,2.6,1.2,2.1,4.3
1121,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Chironomidae,,9.4,11.1,9.8,10.3,11.4,6.4,3.1,9.2,17.1,6.3,5.5,14.1,9.8,9.3,9.2,13.5,11.4,11.6,4.6,15.2
1121,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Oligochaeta,,13.3,9.8,12.1,11.4,5.7,13.7,11.4,21.8,6.6,9.8,11.4,12.6,11.4,8.2,16.1,15.3,12.4,4.2,6,15.1
1121,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Pisidium casertanum,,2.6,2.5,1.8,2.8,3.2,2.7,1.9,3.7,3.1,3.1,1.9,1.8,3.1,2.1,1.7,4.2,4.2,3,1.7,2.2
1121,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Psychoglypha,,15.3,13.2,,,,,,,,,,,,,,,,,,
1121,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Sialis,,4.3,11.4,10.2,,,,,,,,,,,,,,,,,
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Acari,,1,0.8,0.7,0.7,0.8,0.8,0.75,,,,,,,,,,,,,
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Agabus,Larvae,5.8,,,,,,,,,,,,,,,,,,,
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Chironomidae,,2.05,5.8,5.4,5.2,3.6,5.6,2.7,4.7,4.5,9.1,4.8,2.1,2.2,4.7,3.7,5.2,6.2,4.8,3.6,2.9
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Chironomidae,Pupae,2.9,3.5,3.1,3,3.5,3.3,,,,,,,,,,,,,,
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Corixidae,,3.6,5.7,3.75,5.85,5.55,4.35,3.4,4.15,2.85,4.25,5.8,4.3,5.7,4.85,4.1,4.2,4.9,5.2,4.3,4.8
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Leeches,,1.9,1.9,1.8,1.7,1.7,1.9,8.1,4.9,2,4.8,2,2.1,1.7,2.1,2.1,2,2,1.9,2,1.6
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Limnephilus,,5.533333333,3.05,3.45,3.5,3.3,4.2,6.2,4,,,,,,,,,,,,
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Oligochaeta,,9.5,4.4,4.7,3,2.8,4.2,3.6,5.1,8.2,6.2,7.4,2.6,3.3,4.9,5.4,5.2,6.2,4.8,3.6,5.9
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Pisidium casertanum,,3.6,3,3.1,3.9,4.1,4,3.6,3.3,4,4.1,3.55,3.7,3.6,3.45,2.6,2.95,3.8,3.75,3.3,3.1
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Sialis,,4.8,6.3,2.1,5.25,5.85,4.2,4.65,5.25,5.6,6.15,6.9,5.85,1.9,2.35,5.9,4.9,7.4,2.75,4.85,8.9
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Stictotarsus,Adult,3.8,3.85,3.7,3.75,3.75,3.7,3.6,3.75,3.55,3.65,3.75,3.65,3.65,3.9,3.55,3.65,3.65,3.8,3.6,3.85
1122,10102,Extant,Yes,15183,579,3213,4108815.193,KINGS_CANYON,Stictotarsus,Larvae,4.1,3.6,3.6,3.5,3.1,3.1,2.2,3.4,2.1,4.1,2.2,4.2,3.9,3.3,2.1,2.4,2.5,4.3,3.9,2.1
1123,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Acari,,0.8,0.8,1,1.2,1.1,1,1,0.6,0.9,0.9,,,,,,,,,,
1123,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Agabus,,9.1,,,,,,,,,,,,,,,,,,,
1123,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Ameletus,,4.6,4.9,3.5,4,5,4.3,3.4,4.3,5,4.4,4.2,4.3,3.9,3.2,4.6,4,4.3,4.8,4.6,4.1
1123,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Callibaetis ferrugineus,,1.9,1.7,2.8,2.1,,1.8,2.1,1.8,2.5,1.9,4.6,1.3,2.8,2.9,2,9.3,1.9,1.8,2,2
1123,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Callibaetis ferrugineus?,,1.8,1.5,,,,,,,,,,,,,,,,,,
1123,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Chironomidae,,6.3,6.4,3.2,5.3,8.5,4.5,6.6,6.4,6.1,,,,,,,,,,,
1123,10223,Declining,Yes,40331,935,3495,4105232.707,KINGS_CANYON,Corixidae,,2.9,2.9,2.6,2.8,2.8,2.4,2.9,2.1,2.7,3.1,4.1,3.7,2.7,1.7,2.8,1.7,3.9,2.2,3.8,3
